name,qtype,status,answer_count,class
boldsolutions.se,MX,NOERROR,0,NODATA
boldsolutions.se,TXT,NOERROR,0,NODATA
boldsolutions.se,NS,NOERROR,2,POSITIVE
boldsolutions.se,SOA,NOERROR,1,POSITIVE
boldsolutions.se,CAA,NOERROR,0,NODATA
boldsolutions.se,HTTPS,NXDOMAIN,0,NXDOMAIN
nordictechworld.se,A,NOERROR,2,POSITIVE
nordictechworld.se,AAAA,NOERROR,2,POSITIVE
nordictechworld.se,MX,NOERROR,0,NODATA
nordictechworld.se,TXT,NOERROR,0,NODATA
nordictechworld.se,NS,NOERROR,2,POSITIVE
nordictechworld.se,SOA,NOERROR,1,POSITIVE
nordictechworld.se,CAA,NOERROR,0,NODATA
nordictechworld.se,HTTPS,NXDOMAIN,0,NXDOMAIN
verktygsvaruhuset.se,A,NOERROR,1,POSITIVE
verktygsvaruhuset.se,AAAA,NOERROR,0,NODATA
verktygsvaruhuset.se,MX,NOERROR,1,POSITIVE
verktygsvaruhuset.se,TXT,NOERROR,2,POSITIVE
verktygsvaruhuset.se,NS,NOERROR,2,POSITIVE
verktygsvaruhuset.se,SOA,NOERROR,1,POSITIVE
verktygsvaruhuset.se,CAA,NOERROR,0,NODATA
verktygsvaruhuset.se,HTTPS,NXDOMAIN,0,NXDOMAIN
svensktnaringsliv.se,A,NOERROR,1,POSITIVE
svensktnaringsliv.se,AAAA,NOERROR,0,NODATA
svensktnaringsliv.se,MX,NOERROR,1,POSITIVE
svensktnaringsliv.se,TXT,ERROR,0,OTHER
svensktnaringsliv.se,NS,NOERROR,4,POSITIVE
svensktnaringsliv.se,SOA,NOERROR,1,POSITIVE
svensktnaringsliv.se,CAA,NOERROR,0,NODATA
svensktnaringsliv.se,HTTPS,NXDOMAIN,0,NXDOMAIN
freshsolutions.se,A,NOERROR,2,POSITIVE
freshsolutions.se,AAAA,NOERROR,2,POSITIVE
freshsolutions.se,MX,NOERROR,0,NODATA
freshsolutions.se,TXT,NOERROR,0,NODATA
freshsolutions.se,NS,NOERROR,2,POSITIVE
freshsolutions.se,SOA,NOERROR,1,POSITIVE
freshsolutions.se,CAA,NOERROR,0,NODATA
freshsolutions.se,HTTPS,NXDOMAIN,0,NXDOMAIN
econans.se,A,NOERROR,2,POSITIVE
econans.se,AAAA,NOERROR,0,NODATA
econans.se,MX,NOERROR,1,POSITIVE
econans.se,TXT,NOERROR,6,POSITIVE
econans.se,NS,NOERROR,4,POSITIVE
econans.se,SOA,NOERROR,1,POSITIVE
econans.se,CAA,NOERROR,0,NODATA
econans.se,HTTPS,NXDOMAIN,0,NXDOMAIN
hpguiden.se,A,NOERROR,1,POSITIVE
hpguiden.se,AAAA,NOERROR,0,NODATA
hpguiden.se,MX,NOERROR,2,POSITIVE
hpguiden.se,TXT,NOERROR,3,POSITIVE
hpguiden.se,NS,NOERROR,2,POSITIVE
hpguiden.se,SOA,NOERROR,1,POSITIVE
hpguiden.se,CAA,NOERROR,0,NODATA
hpguiden.se,HTTPS,NXDOMAIN,0,NXDOMAIN
bestsecret.se,A,NOERROR,2,POSITIVE
bestsecret.se,AAAA,NOERROR,0,NODATA
bestsecret.se,MX,NOERROR,1,POSITIVE
bestsecret.se,TXT,ERROR,0,OTHER
bestsecret.se,NS,NOERROR,2,POSITIVE
bestsecret.se,SOA,NOERROR,1,POSITIVE
bestsecret.se,CAA,NOERROR,0,NODATA
bestsecret.se,HTTPS,NXDOMAIN,0,NXDOMAIN
allas.se,A,NOERROR,2,POSITIVE
allas.se,AAAA,NOERROR,2,POSITIVE
allas.se,MX,NOERROR,1,POSITIVE
allas.se,TXT,ERROR,0,OTHER
allas.se,NS,NOERROR,2,POSITIVE
allas.se,SOA,NOERROR,1,POSITIVE
allas.se,CAA,ERROR,0,OTHER
allas.se,HTTPS,NXDOMAIN,0,NXDOMAIN
kicks.se,A,NOERROR,2,POSITIVE
kicks.se,AAAA,NOERROR,2,POSITIVE
kicks.se,MX,NOERROR,1,POSITIVE
kicks.se,TXT,ERROR,0,OTHER
kicks.se,NS,NOERROR,2,POSITIVE
kicks.se,SOA,NOERROR,1,POSITIVE
kicks.se,CAA,NOERROR,0,NODATA
kicks.se,HTTPS,NXDOMAIN,0,NXDOMAIN
astridlindgrensvarld.se,A,NOERROR,1,POSITIVE
astridlindgrensvarld.se,AAAA,NOERROR,0,NODATA
astridlindgrensvarld.se,MX,NOERROR,1,POSITIVE
astridlindgrensvarld.se,TXT,ERROR,0,OTHER
astridlindgrensvarld.se,NS,NOERROR,4,POSITIVE
astridlindgrensvarld.se,SOA,NOERROR,1,POSITIVE
astridlindgrensvarld.se,CAA,NOERROR,2,POSITIVE
astridlindgrensvarld.se,HTTPS,NXDOMAIN,0,NXDOMAIN
nonstop.se,A,NOERROR,1,POSITIVE
nonstop.se,AAAA,NOERROR,0,NODATA
nonstop.se,MX,NOERROR,1,POSITIVE
nonstop.se,TXT,NOERROR,1,POSITIVE
nonstop.se,NS,NOERROR,2,POSITIVE
nonstop.se,SOA,NOERROR,1,POSITIVE
nonstop.se,CAA,NOERROR,2,POSITIVE
nonstop.se,HTTPS,NXDOMAIN,0,NXDOMAIN
borenet.se,A,NOERROR,1,POSITIVE
borenet.se,AAAA,NOERROR,0,NODATA
borenet.se,MX,NOERROR,2,POSITIVE
borenet.se,TXT,NOERROR,3,POSITIVE
borenet.se,NS,NOERROR,2,POSITIVE
borenet.se,SOA,NOERROR,1,POSITIVE
borenet.se,CAA,NOERROR,0,NODATA
borenet.se,HTTPS,NXDOMAIN,0,NXDOMAIN
techinnovator.se,A,NOERROR,2,POSITIVE
techinnovator.se,AAAA,NOERROR,2,POSITIVE
techinnovator.se,MX,NOERROR,0,NODATA
techinnovator.se,TXT,NOERROR,0,NODATA
techinnovator.se,NS,NOERROR,2,POSITIVE
techinnovator.se,SOA,NOERROR,1,POSITIVE
techinnovator.se,CAA,NOERROR,0,NODATA
techinnovator.se,HTTPS,NXDOMAIN,0,NXDOMAIN
schibsted.se,A,NOERROR,1,POSITIVE
schibsted.se,AAAA,NOERROR,0,NODATA
schibsted.se,MX,NOERROR,5,POSITIVE
schibsted.se,TXT,ERROR,0,OTHER
schibsted.se,NS,NOERROR,4,POSITIVE
schibsted.se,SOA,NOERROR,1,POSITIVE
schibsted.se,CAA,NOERROR,0,NODATA
schibsted.se,HTTPS,NXDOMAIN,0,NXDOMAIN
ns.se,A,NOERROR,0,NODATA
ns.se,AAAA,NOERROR,0,NODATA
ns.se,MX,NOERROR,0,NODATA
ns.se,TXT,NOERROR,0,NODATA
ns.se,NS,NOERROR,0,NODATA
ns.se,SOA,NOERROR,0,NODATA
ns.se,CAA,NOERROR,0,NODATA
ns.se,HTTPS,NXDOMAIN,0,NXDOMAIN
difhockey.se,A,NOERROR,1,POSITIVE
difhockey.se,AAAA,NOERROR,0,NODATA
difhockey.se,MX,NOERROR,2,POSITIVE
difhockey.se,TXT,NOERROR,4,POSITIVE
difhockey.se,NS,NOERROR,2,POSITIVE
difhockey.se,SOA,NOERROR,1,POSITIVE
difhockey.se,CAA,NOERROR,0,NODATA
difhockey.se,HTTPS,NXDOMAIN,0,NXDOMAIN
designbysi.se,A,NOERROR,1,POSITIVE
designbysi.se,AAAA,NOERROR,0,NODATA
designbysi.se,MX,NOERROR,0,NODATA
designbysi.se,TXT,NOERROR,5,POSITIVE
designbysi.se,NS,NOERROR,2,POSITIVE
designbysi.se,SOA,NOERROR,1,POSITIVE
designbysi.se,CAA,NOERROR,0,NODATA
designbysi.se,HTTPS,NXDOMAIN,0,NXDOMAIN
cafax.se,A,NOERROR,0,NODATA
cafax.se,AAAA,NOERROR,0,NODATA
cafax.se,MX,NOERROR,1,POSITIVE
cafax.se,TXT,NOERROR,1,POSITIVE
cafax.se,NS,NOERROR,2,POSITIVE
cafax.se,SOA,NOERROR,1,POSITIVE
cafax.se,CAA,NOERROR,0,NODATA
cafax.se,HTTPS,NXDOMAIN,0,NXDOMAIN
tankebloggen.se,A,NOERROR,2,POSITIVE
tankebloggen.se,AAAA,NOERROR,2,POSITIVE
tankebloggen.se,MX,NOERROR,0,NODATA
tankebloggen.se,TXT,NOERROR,0,NODATA
tankebloggen.se,NS,NOERROR,2,POSITIVE
tankebloggen.se,SOA,NOERROR,1,POSITIVE
tankebloggen.se,CAA,NOERROR,0,NODATA
tankebloggen.se,HTTPS,NXDOMAIN,0,NXDOMAIN
biruang.se,A,NOERROR,1,POSITIVE
biruang.se,AAAA,NOERROR,0,NODATA
biruang.se,MX,NOERROR,1,POSITIVE
biruang.se,TXT,NOERROR,2,POSITIVE
biruang.se,NS,NOERROR,3,POSITIVE
biruang.se,SOA,NOERROR,1,POSITIVE
biruang.se,CAA,NOERROR,0,NODATA
biruang.se,HTTPS,NXDOMAIN,0,NXDOMAIN
scb.se,A,NOERROR,1,POSITIVE
scb.se,AAAA,NOERROR,1,POSITIVE
scb.se,MX,NOERROR,2,POSITIVE
scb.se,TXT,NOERROR,4,POSITIVE
scb.se,NS,NOERROR,2,POSITIVE
scb.se,SOA,NOERROR,1,POSITIVE
scb.se,CAA,NOERROR,0,NODATA
scb.se,HTTPS,NXDOMAIN,0,NXDOMAIN
travronden.se,A,NOERROR,2,POSITIVE
travronden.se,AAAA,NOERROR,0,NODATA
travronden.se,MX,NOERROR,5,POSITIVE
travronden.se,TXT,NOERROR,4,POSITIVE
travronden.se,NS,NOERROR,2,POSITIVE
travronden.se,SOA,NOERROR,1,POSITIVE
travronden.se,CAA,NOERROR,3,POSITIVE
travronden.se,HTTPS,NXDOMAIN,0,NXDOMAIN
vardagskompass.se,A,NOERROR,2,POSITIVE
vardagskompass.se,AAAA,NOERROR,2,POSITIVE
vardagskompass.se,MX,NOERROR,0,NODATA
vardagskompass.se,TXT,NOERROR,0,NODATA
vardagskompass.se,NS,NOERROR,2,POSITIVE
vardagskompass.se,SOA,NOERROR,1,POSITIVE
vardagskompass.se,CAA,NOERROR,0,NODATA
vardagskompass.se,HTTPS,NXDOMAIN,0,NXDOMAIN
inera.se,A,NOERROR,1,POSITIVE
inera.se,AAAA,NOERROR,0,NODATA
inera.se,MX,NOERROR,1,POSITIVE
inera.se,TXT,ERROR,0,OTHER
inera.se,NS,NOERROR,4,POSITIVE
inera.se,SOA,NOERROR,1,POSITIVE
inera.se,CAA,NOERROR,0,NODATA
inera.se,HTTPS,NXDOMAIN,0,NXDOMAIN
faktavarden.se,A,NOERROR,2,POSITIVE
faktavarden.se,AAAA,NOERROR,2,POSITIVE
faktavarden.se,MX,NOERROR,0,NODATA
faktavarden.se,TXT,NOERROR,0,NODATA
faktavarden.se,NS,NOERROR,2,POSITIVE
faktavarden.se,SOA,NOERROR,1,POSITIVE
faktavarden.se,CAA,NOERROR,0,NODATA
faktavarden.se,HTTPS,NXDOMAIN,0,NXDOMAIN
okq8bank.se,A,NOERROR,1,POSITIVE
okq8bank.se,AAAA,NOERROR,0,NODATA
okq8bank.se,MX,NOERROR,1,POSITIVE
okq8bank.se,TXT,NOERROR,6,POSITIVE
okq8bank.se,NS,NOERROR,2,POSITIVE
okq8bank.se,SOA,NOERROR,1,POSITIVE
okq8bank.se,CAA,NOERROR,5,POSITIVE
okq8bank.se,HTTPS,NXDOMAIN,0,NXDOMAIN
spfseniorerna.se,A,NOERROR,1,POSITIVE
spfseniorerna.se,AAAA,NOERROR,0,NODATA
spfseniorerna.se,MX,NOERROR,1,POSITIVE
spfseniorerna.se,TXT,ERROR,0,OTHER
spfseniorerna.se,NS,NOERROR,2,POSITIVE
spfseniorerna.se,SOA,NOERROR,1,POSITIVE
spfseniorerna.se,CAA,NOERROR,0,NODATA
spfseniorerna.se,HTTPS,NXDOMAIN,0,NXDOMAIN
tyresobostader.se,A,NOERROR,1,POSITIVE
tyresobostader.se,AAAA,NOERROR,0,NODATA
tyresobostader.se,MX,NOERROR,1,POSITIVE
tyresobostader.se,TXT,NOERROR,3,POSITIVE
tyresobostader.se,NS,NOERROR,2,POSITIVE
tyresobostader.se,SOA,NOERROR,1,POSITIVE
tyresobostader.se,CAA,NOERROR,5,POSITIVE
tyresobostader.se,HTTPS,NXDOMAIN,0,NXDOMAIN
carla.se,A,NOERROR,1,POSITIVE
carla.se,AAAA,NOERROR,0,NODATA
carla.se,MX,NOERROR,5,POSITIVE
carla.se,TXT,ERROR,0,OTHER
carla.se,NS,NOERROR,4,POSITIVE
carla.se,SOA,NOERROR,1,POSITIVE
carla.se,CAA,NOERROR,0,NODATA
carla.se,HTTPS,NXDOMAIN,0,NXDOMAIN
power.se,A,NOERROR,1,POSITIVE
power.se,AAAA,NOERROR,0,NODATA
power.se,MX,NOERROR,1,POSITIVE
power.se,TXT,ERROR,0,OTHER
power.se,NS,NOERROR,3,POSITIVE
power.se,SOA,NOERROR,1,POSITIVE
power.se,CAA,NOERROR,0,NODATA
power.se,HTTPS,NXDOMAIN,0,NXDOMAIN
bredbandsval.se,A,NOERROR,1,POSITIVE
bredbandsval.se,AAAA,NOERROR,0,NODATA
bredbandsval.se,MX,NOERROR,5,POSITIVE
bredbandsval.se,TXT,NOERROR,3,POSITIVE
bredbandsval.se,NS,NOERROR,2,POSITIVE
bredbandsval.se,SOA,NOERROR,1,POSITIVE
bredbandsval.se,CAA,NOERROR,0,NODATA
bredbandsval.se,HTTPS,NXDOMAIN,0,NXDOMAIN
telgenytt.se,A,NOERROR,2,POSITIVE
telgenytt.se,AAAA,NOERROR,2,POSITIVE
telgenytt.se,MX,NOERROR,1,POSITIVE
telgenytt.se,TXT,NOERROR,4,POSITIVE
telgenytt.se,NS,NOERROR,2,POSITIVE
telgenytt.se,SOA,NOERROR,1,POSITIVE
telgenytt.se,CAA,NOERROR,0,NODATA
telgenytt.se,HTTPS,NXDOMAIN,0,NXDOMAIN
puresolutionslab.se,A,NOERROR,2,POSITIVE
puresolutionslab.se,AAAA,NOERROR,2,POSITIVE
puresolutionslab.se,MX,NOERROR,0,NODATA
puresolutionslab.se,TXT,NOERROR,0,NODATA
puresolutionslab.se,NS,NOERROR,2,POSITIVE
puresolutionslab.se,SOA,NOERROR,1,POSITIVE
puresolutionslab.se,CAA,NOERROR,0,NODATA
puresolutionslab.se,HTTPS,NXDOMAIN,0,NXDOMAIN
svedea.se,A,NOERROR,1,POSITIVE
svedea.se,AAAA,NOERROR,0,NODATA
svedea.se,MX,NOERROR,1,POSITIVE
svedea.se,TXT,ERROR,0,OTHER
svedea.se,NS,NOERROR,2,POSITIVE
svedea.se,SOA,NOERROR,1,POSITIVE
svedea.se,CAA,NOERROR,0,NODATA
svedea.se,HTTPS,NXDOMAIN,0,NXDOMAIN
textperspektiv.se,A,NOERROR,2,POSITIVE
textperspektiv.se,AAAA,NOERROR,2,POSITIVE
textperspektiv.se,MX,NOERROR,0,NODATA
textperspektiv.se,TXT,NOERROR,0,NODATA
textperspektiv.se,NS,NOERROR,2,POSITIVE
textperspektiv.se,SOA,NOERROR,1,POSITIVE
textperspektiv.se,CAA,NOERROR,0,NODATA
textperspektiv.se,HTTPS,NXDOMAIN,0,NXDOMAIN
museiresan.se,A,NOERROR,2,POSITIVE
museiresan.se,AAAA,NOERROR,2,POSITIVE
museiresan.se,MX,NOERROR,0,NODATA
museiresan.se,TXT,NOERROR,1,POSITIVE
museiresan.se,NS,NOERROR,2,POSITIVE
museiresan.se,SOA,NOERROR,1,POSITIVE
museiresan.se,CAA,NOERROR,0,NODATA
museiresan.se,HTTPS,NXDOMAIN,0,NXDOMAIN
sparbankenskane.se,A,NOERROR,4,POSITIVE
sparbankenskane.se,AAAA,NOERROR,0,NODATA
sparbankenskane.se,MX,NOERROR,2,POSITIVE
sparbankenskane.se,TXT,NOERROR,5,POSITIVE
sparbankenskane.se,NS,NOERROR,4,POSITIVE
sparbankenskane.se,SOA,NOERROR,1,POSITIVE
sparbankenskane.se,CAA,NOERROR,0,NODATA
sparbankenskane.se,HTTPS,NXDOMAIN,0,NXDOMAIN
forsakringskassan.se,A,NOERROR,1,POSITIVE
forsakringskassan.se,AAAA,NOERROR,1,POSITIVE
forsakringskassan.se,MX,NOERROR,2,POSITIVE
forsakringskassan.se,TXT,ERROR,0,OTHER
forsakringskassan.se,NS,NOERROR,7,POSITIVE
forsakringskassan.se,SOA,NOERROR,1,POSITIVE
forsakringskassan.se,CAA,NOERROR,0,NODATA
forsakringskassan.se,HTTPS,NXDOMAIN,0,NXDOMAIN
hifikit.se,A,NOERROR,1,POSITIVE
hifikit.se,AAAA,NOERROR,0,NODATA
hifikit.se,MX,NOERROR,5,POSITIVE
hifikit.se,TXT,NOERROR,2,POSITIVE
hifikit.se,NS,NOERROR,6,POSITIVE
hifikit.se,SOA,NOERROR,1,POSITIVE
hifikit.se,CAA,NOERROR,0,NODATA
hifikit.se,HTTPS,NXDOMAIN,0,NXDOMAIN
preem.se,A,NOERROR,1,POSITIVE
