air,level,ext_field,hash,r,n_trace,blowup,prove_ms,verify_ms,proof_kib,peak_rss_mib,run_idx,ldt
RegisterMachine-2^20,L1,Fp6,SHA3-256,54,1048576,32,178297,1.49,202.5,,3,stir
RegisterMachine-2^21,L1,Fp6,SHA3-256,54,2097152,32,364844,1.64,229.6,,3,stir
RegisterMachine-2^22,L1,Fp6,SHA3-256,54,4194304,32,737790,1.64,231.4,,3,stir
Fibonacci-2^11,L1,Fp6,SHA3-384,54,2048,32,270,1.46,200.8,,1,stir
Fibonacci-2^12,L1,Fp6,SHA3-384,54,4096,32,522,1.50,203.4,,1,stir
Fibonacci-2^13,L1,Fp6,SHA3-384,54,8192,32,1020,1.70,244.1,,1,stir
Fibonacci-2^14,L1,Fp6,SHA3-384,54,16384,32,2036,1.71,246.8,,1,stir
Fibonacci-2^15,L1,Fp6,SHA3-384,54,32768,32,4104,1.78,249.4,,1,stir
Fibonacci-2^16,L1,Fp6,SHA3-384,54,65536,32,8246,1.82,252.1,,1,stir
Fibonacci-2^17,L1,Fp6,SHA3-384,54,131072,32,16768,2.00,292.7,,1,stir
Fibonacci-2^18,L1,Fp6,SHA3-384,54,262144,32,33849,2.02,295.4,,1,stir
Fibonacci-2^19,L1,Fp6,SHA3-384,54,524288,32,67938,2.09,298.1,,1,stir
Fibonacci-2^20,L1,Fp6,SHA3-384,54,1048576,32,138339,2.12,300.8,,1,stir
Fibonacci-2^21,L1,Fp6,SHA3-384,54,2097152,32,278070,2.37,341.4,,1,stir
Fibonacci-2^22,L1,Fp6,SHA3-384,54,4194304,32,556808,2.34,344.1,,1,stir
PoseidonChain-2^11,L1,Fp6,SHA3-384,54,2048,32,635,1.48,200.8,,1,stir
PoseidonChain-2^12,L1,Fp6,SHA3-384,54,4096,32,1254,1.52,203.4,,1,stir
PoseidonChain-2^13,L1,Fp6,SHA3-384,54,8192,32,2520,1.70,244.1,,1,stir
PoseidonChain-2^14,L1,Fp6,SHA3-384,54,16384,32,5092,1.73,246.8,,1,stir
PoseidonChain-2^15,L1,Fp6,SHA3-384,54,32768,32,10323,1.78,249.4,,1,stir
PoseidonChain-2^16,L1,Fp6,SHA3-384,54,65536,32,21097,1.82,252.1,,1,stir
PoseidonChain-2^17,L1,Fp6,SHA3-384,54,131072,32,42694,2.01,292.7,,1,stir
PoseidonChain-2^18,L1,Fp6,SHA3-384,54,262144,32,86516,2.03,295.4,,1,stir
PoseidonChain-2^19,L1,Fp6,SHA3-384,54,524288,32,175037,2.09,298.1,,1,stir
PoseidonChain-2^20,L1,Fp6,SHA3-384,54,1048576,32,355040,2.14,300.8,,1,stir
PoseidonChain-2^21,L1,Fp6,SHA3-384,54,2097152,32,723307,2.32,341.4,,1,stir
PoseidonChain-2^22,L1,Fp6,SHA3-384,54,4194304,32,1467535,2.35,344.1,,1,stir
RegisterMachine-2^11,L1,Fp6,SHA3-384,54,2048,32,322,1.46,200.8,,1,stir
RegisterMachine-2^12,L1,Fp6,SHA3-384,54,4096,32,625,1.51,203.4,,1,stir
RegisterMachine-2^13,L1,Fp6,SHA3-384,54,8192,32,1250,1.71,244.1,,1,stir
RegisterMachine-2^14,L1,Fp6,SHA3-384,54,16384,32,2513,1.73,246.8,,1,stir
RegisterMachine-2^15,L1,Fp6,SHA3-384,54,32768,32,5103,1.79,249.4,,1,stir
RegisterMachine-2^16,L1,Fp6,SHA3-384,54,65536,32,10545,1.81,252.1,,1,stir
